BINCODE	GO.TERM
10.2.2.1	GO:0016647
10.2.2.1	GO:0017144
10.2.2.1	GO:0034641
10.2.2.1	GO:0036094
10.2.2.1	GO:0042402
10.2.2.1	GO:0042737
10.2.2.1	GO:0043167
10.2.2.1	GO:0043168
10.2.2.1	GO:0044106
10.2.2.1	GO:0044237
10.2.2.1	GO:0044248
10.2.2.1	GO:0046208
10.2.2.1	GO:0046592
10.2.2.1	GO:0048037
10.2.2.1	GO:0050660
10.2.2.1	GO:0050662
10.2.2.1	GO:0052894
10.2.2.1	GO:0052895
10.2.2.1	GO:0052901
10.2.2.1	GO:0055114
10.2.2.1	GO:0071704
10.2.2.1	GO:0097159
10.2.2.1	GO:0097164
10.2.2.1	GO:1901265
10.2.2.1	GO:1901363
10.2.2.1	GO:1901564
10.2.2.1	GO:1901565
10.2.2.1	GO:1901575
10.2.3.1	GO:0003674
10.2.3.1	GO:0003824
10.2.3.1	GO:0006576
10.2.3.1	GO:0006595
10.2.3.1	GO:0006596
10.2.3.1	GO:0006807
10.2.3.1	GO:0008150
10.2.3.1	GO:0008152
10.2.3.1	GO:0008216
10.2.3.1	GO:0009058
10.2.3.1	GO:0009308
10.2.3.1	GO:0009309
10.2.3.1	GO:0009987
10.2.3.1	GO:0016410
10.2.3.1	GO:0016740
10.2.3.1	GO:0016746
10.2.3.1	GO:0016747
10.2.3.1	GO:0034641
10.2.3.1	GO:0042401
10.2.3.1	GO:0044106
10.2.3.1	GO:0044237
10.2.3.1	GO:0044249
10.2.3.1	GO:0044271
10.2.3.1	GO:0071704
10.2.3.1	GO:0097164
10.2.3.1	GO:1901564
10.2.3.1	GO:1901566
10.2.3.1	GO:1901576
10.2.3.2	GO:0003674
10.2.3.2	GO:0003824
10.2.3.2	GO:0006807
10.2.3.2	GO:0007275
10.2.3.2	GO:0008150
10.2.3.2	GO:0008152
10.2.3.2	GO:0009058
10.2.3.2	GO:0009555
10.2.3.2	GO:0009987
10.2.3.2	GO:0010208
10.2.3.2	GO:0010584
10.2.3.2	GO:0010927
10.2.3.2	GO:0016043
10.2.3.2	GO:0016410
10.2.3.2	GO:0016740
10.2.3.2	GO:0016746
10.2.3.2	GO:0016747
10.2.3.2	GO:0022607
10.2.3.2	GO:0030198
10.2.3.2	GO:0032501
10.2.3.2	GO:0032502
10.2.3.2	GO:0034641
10.2.3.2	GO:0043062
10.2.3.2	GO:0043603
10.2.3.2	GO:0043604
10.2.3.2	GO:0044237
10.2.3.2	GO:0044249
10.2.3.2	GO:0044271
10.2.3.2	GO:0045229
10.2.3.2	GO:0048229
10.2.3.2	GO:0048646
10.2.3.2	GO:0048856
10.2.3.2	GO:0071704
10.2.3.2	GO:0071840
10.2.3.2	GO:0080072
10.2.3.2	GO:0080073
10.2.3.2	GO:0080074
10.2.3.2	GO:0080075
10.2.3.2	GO:0080088
10.2.3.2	GO:0085029
10.2.3.2	GO:1901564
10.2.3.2	GO:1901566
10.2.3.2	GO:1901576
1.1.1.1.1	GO:0003674
1.1.1.1.1	GO:0005488
1.1.1.1.1	GO:0005575
1.1.1.1.1	GO:0006091
1.1.1.1.1	GO:0006464
1.1.1.1.1	GO:0006807
1.1.1.1.1	GO:0008150
1.1.1.1.1	GO:0008152
1.1.1.1.1	GO:0009507
1.1.1.1.1	GO:0009521
1.1.1.1.1	GO:0009522
1.1.1.1.1	GO:0009523
1.1.1.1.1	GO:0009535
1.1.1.1.1	GO:0009536
1.1.1.1.1	GO:0009579
1.1.1.1.1	GO:0009765
1.1.1.1.1	GO:0009987
1.1.1.1.1	GO:0015979
1.1.1.1.1	GO:0016020
1.1.1.1.1	GO:0016021
1.1.1.1.1	GO:0016168
1.1.1.1.1	GO:0018298
1.1.1.1.1	GO:0019538
1.1.1.1.1	GO:0031224
1.1.1.1.1	GO:0032991
1.1.1.1.1	GO:0034357
1.1.1.1.1	GO:0036211
1.1.1.1.1	GO:0042651
1.1.1.1.1	GO:0043167
1.1.1.1.1	GO:0043169
1.1.1.1.1	GO:0043170
1.1.1.1.1	GO:0043226
1.1.1.1.1	GO:0043227
1.1.1.1.1	GO:0043229
1.1.1.1.1	GO:0043231
1.1.1.1.1	GO:0043412
1.1.1.1.1	GO:0044237
1.1.1.1.1	GO:0044238
1.1.1.1.1	GO:0044260
1.1.1.1.1	GO:0044267
1.1.1.1.1	GO:0044422
1.1.1.1.1	GO:0044424
1.1.1.1.1	GO:0044425
1.1.1.1.1	GO:0044434
1.1.1.1.1	GO:0044435
1.1.1.1.1	GO:0044436
1.1.1.1.1	GO:0044444
1.1.1.1.1	GO:0044446
1.1.1.1.1	GO:0044464
1.1.1.1.1	GO:0046872
1.1.1.1.1	GO:0046906
1.1.1.1.1	GO:0048037
1.1.1.1.1	GO:0055035
1.1.1.1.1	GO:0071704
1.1.1.1.1	GO:0097159
1.1.1.1.1	GO:0098796
1.1.1.1.1	GO:1901363
1.1.1.1.1	GO:1901564
11.1.1.1	GO:0000166
11.1.1.1	GO:0001101
11.1.1.1	GO:0003674
11.1.1.1	GO:0003824
11.1.1.1	GO:0004497
11.1.1.1	GO:0005488
11.1.1.1	GO:0005575
11.1.1.1	GO:0006066
11.1.1.1	GO:0006082
11.1.1.1	GO:0006629
11.1.1.1	GO:0006714
11.1.1.1	GO:0006720
11.1.1.1	GO:0006721
11.1.1.1	GO:0006950
11.1.1.1	GO:0008150
11.1.1.1	GO:0008152
11.1.1.1	GO:0008299
11.1.1.1	GO:0008610
11.1.1.1	GO:0009058
11.1.1.1	GO:0009414
11.1.1.1	GO:0009415
11.1.1.1	GO:0009507
11.1.1.1	GO:0009536
11.1.1.1	GO:0009540
11.1.1.1	GO:0009628
11.1.1.1	GO:0009687
11.1.1.1	GO:0009688
11.1.1.1	GO:0009987
11.1.1.1	GO:0010035
11.1.1.1	GO:0016020
11.1.1.1	GO:0016053
11.1.1.1	GO:0016106
11.1.1.1	GO:0016108
11.1.1.1	GO:0016109
11.1.1.1	GO:0016114
11.1.1.1	GO:0016116
11.1.1.1	GO:0016117
11.1.1.1	GO:0016122
11.1.1.1	GO:0016123
11.1.1.1	GO:0016491
11.1.1.1	GO:0016705
11.1.1.1	GO:0016709
11.1.1.1	GO:0019748
11.1.1.1	GO:0019752
11.1.1.1	GO:0032787
11.1.1.1	GO:0036094
11.1.1.1	GO:0042221
11.1.1.1	GO:0042440
11.1.1.1	GO:0043167
11.1.1.1	GO:0043168
11.1.1.1	GO:0043226
11.1.1.1	GO:0043227
11.1.1.1	GO:0043229
11.1.1.1	GO:0043231
11.1.1.1	GO:0043288
11.1.1.1	GO:0043289
11.1.1.1	GO:0043436
11.1.1.1	GO:0044237
11.1.1.1	GO:0044238
11.1.1.1	GO:0044249
11.1.1.1	GO:0044255
11.1.1.1	GO:0044281
11.1.1.1	GO:0044283
11.1.1.1	GO:0044422
11.1.1.1	GO:0044424
11.1.1.1	GO:0044434
11.1.1.1	GO:0044435
11.1.1.1	GO:0044444
11.1.1.1	GO:0044446
11.1.1.1	GO:0044464
11.1.1.1	GO:0044550
11.1.1.1	GO:0046148
11.1.1.1	GO:0046165
11.1.1.1	GO:0046394
11.1.1.1	GO:0048037
11.1.1.1	GO:0050660
11.1.1.1	GO:0050662
11.1.1.1	GO:0050896
11.1.1.1	GO:0055114
11.1.1.1	GO:0065007
11.1.1.1	GO:0071704
11.1.1.1	GO:0071949
11.1.1.1	GO:0072330
11.1.1.1	GO:0097159
11.1.1.1	GO:1901265
11.1.1.1	GO:1901363
11.1.1.1	GO:1901576
11.1.1.1	GO:1901615
11.1.1.1	GO:1901617
11.1.1.1	GO:1901700
11.1.1.1	GO:1902644
11.1.1.1	GO:1902645
11.1.1.2	GO:0003674
11.1.1.2	GO:0003824
11.1.1.2	GO:0005575
11.1.1.2	GO:0006629
11.1.1.2	GO:0006720
11.1.1.2	GO:0006721
11.1.1.2	GO:0008150
11.1.1.2	GO:0008152
11.1.1.2	GO:0008299
11.1.1.2	GO:0008610
11.1.1.2	GO:0009058
11.1.1.2	GO:0009507
11.1.1.2	GO:0009536
11.1.1.2	GO:0009987
11.1.1.2	GO:0016108
11.1.1.2	GO:0016109
11.1.1.2	GO:0016114
11.1.1.2	GO:0016116
11.1.1.2	GO:0016117
11.1.1.2	GO:0016491
11.1.1.2	GO:0016705
11.1.1.2	GO:0016853
11.1.1.2	GO:0034020
11.1.1.2	GO:0042440
11.1.1.2	GO:0043226
11.1.1.2	GO:0043227
11.1.1.2	GO:0043229
11.1.1.2	GO:0043231
11.1.1.2	GO:0044237
11.1.1.2	GO:0044238
11.1.1.2	GO:0044249
11.1.1.2	GO:0044255
11.1.1.2	GO:0044424
11.1.1.2	GO:0044444
11.1.1.2	GO:0044464
11.1.1.2	GO:0046148
11.1.1.2	GO:0055114
11.1.1.2	GO:0071704
11.1.1.2	GO:1901576
1.1.1.1.2	GO:0003674
1.1.1.1.2	GO:0005488
1.1.1.1.2	GO:0005575
1.1.1.1.2	GO:0006091
1.1.1.1.2	GO:0006464
1.1.1.1.2	GO:0006807
1.1.1.1.2	GO:0008150
1.1.1.1.2	GO:0008152
1.1.1.1.2	GO:0009314
1.1.1.1.2	GO:0009416
1.1.1.1.2	GO:0009507
1.1.1.1.2	GO:0009521
1.1.1.1.2	GO:0009522
1.1.1.1.2	GO:0009523
1.1.1.1.2	GO:0009526
1.1.1.1.2	GO:0009534
1.1.1.1.2	GO:0009535
1.1.1.1.2	GO:0009536
1.1.1.1.2	GO:0009579
1.1.1.1.2	GO:0009628
1.1.1.1.2	GO:0009637
1.1.1.1.2	GO:0009639
1.1.1.1.2	GO:0009765
1.1.1.1.2	GO:0009768
1.1.1.1.2	GO:0009941
1.1.1.1.2	GO:0009987
1.1.1.1.2	GO:0010114
1.1.1.1.2	GO:0010218
1.1.1.1.2	GO:0010287
1.1.1.1.2	GO:0015979
1.1.1.1.2	GO:0016020
1.1.1.1.2	GO:0016021
1.1.1.1.2	GO:0016168
1.1.1.1.2	GO:0018298
1.1.1.1.2	GO:0019538
1.1.1.1.2	GO:0031224
1.1.1.1.2	GO:0031409
1.1.1.1.2	GO:0031967
1.1.1.1.2	GO:0031975
1.1.1.1.2	GO:0031976
1.1.1.1.2	GO:0031984
